query,expected_chunk_ids
"What did Apple report for total revenue in fiscal Q3 2026?","AAPL_2026Q3:2|AAPL_2026Q3:16"
"What gross margin did Apple report, and what drove the sequential change?","AAPL_2026Q3:16|AAPL_2026Q3:17|AAPL_2026Q3:55|AAPL_2026Q3:56"
"What did Apple guide for revenue growth and gross margin in the September quarter?","AAPL_2026Q3:25|AAPL_2026Q3:26"
"What supply constraints did Apple expect to affect iPhone, Mac, and iPad?","AAPL_2026Q3:25|AAPL_2026Q3:29|AAPL_2026Q3:30|AAPL_2026Q3:31"
"What did Apple say about rising memory costs and their impact beyond September?","AAPL_2026Q3:32|AAPL_2026Q3:33"
"What was Alphabet's revenue growth in Q2 2026?","GOOG_2026Q2:1|GOOG_2026Q2:22"
"How did Google Cloud revenue and operating margin perform?","GOOG_2026Q2:26|GOOG_2026Q2:27"
"What did Alphabet guide for full-year 2026 CapEx, and why was it increased?","GOOG_2026Q2:29"
"What did Google say about AI infrastructure demand and supply constraints?","GOOG_2026Q2:1|GOOG_2026Q2:3|GOOG_2026Q2:28|GOOG_2026Q2:29"
"How did Alphabet describe the AI opportunity and expected ROIC?","GOOG_2026Q2:32|GOOG_2026Q2:33"
"What was Microsoft's fiscal Q4 2026 revenue and year-over-year growth?","MSFT_2026Q4:22"
"How did Microsoft Cloud revenue perform, and what was its gross margin?","MSFT_2026Q4:26"
"What did Microsoft say about Azure demand exceeding available capacity?","MSFT_2026Q4:29|MSFT_2026Q4:30"
"What is Microsoft's outlook for FY27 capital expenditures and operating margins?","MSFT_2026Q4:34|MSFT_2026Q4:35|MSFT_2026Q4:36"
"How is Microsoft monetizing Copilot through seats, premium offerings, and usage-based billing?","MSFT_2026Q4:27|MSFT_2026Q4:28|MSFT_2026Q4:39"
"What were Meta's key community and engagement milestones in Q2 2026?","META_2026Q2:1"
"How is Meta using AI to improve its core business?","META_2026Q2:2"
"What did Meta say about personal agents and future revenue opportunities?","META_2026Q2:2"
"Why does Meta believe it must continue developing proprietary frontier models?","META_2026Q2:63|META_2026Q2:64|META_2026Q2:65|META_2026Q2:66|META_2026Q2:67|META_2026Q2:68"
"How is Meta planning its AI capacity investments for 2026 and 2027?","META_2026Q2:63|META_2026Q2:69|META_2026Q2:70"
"What did Intel say about customer interest in its external foundry business?","INTC_2026Q2:40|INTC_2026Q2:41|INTC_2026Q2:42"
"What did Intel say about its 14A process technology timeline?","INTC_2026Q2:41"
"How is Intel allocating its 2026 CapEx?","INTC_2026Q2:42|INTC_2026Q2:43"
"What balance-sheet resources does Intel have to fund investment?","INTC_2026Q2:44|INTC_2026Q2:45|INTC_2026Q2:46"
"What did Intel say about demand for Granite Rapids servers?","INTC_2026Q2:47|INTC_2026Q2:48"
"What did Robinhood say about growth in platform assets and adjusted EBITDA since its IPO?","LRCX_2026Q2:2"
"What are Robinhood's three strategic priorities?","LRCX_2026Q2:3"
"How did Robinhood describe demand and monetization for prediction markets or crypto products?","LRCX_2026Q2:67|LRCX_2026Q2:71|LRCX_2026Q2:72|LRCX_2026Q2:73"
"How did Robinhood's July trading activity compare with Q2?","LRCX_2026Q2:72"
"What did Robinhood say about the impact of removing the Pattern Day Trading rule?","LRCX_2026Q2:76"
