query,expected_chunk_ids
"What did Apple say about the upcoming advanced manufacturing center in Houston?","AAPL_2026Q3:13"
"What is the Apple Upgrade program and what benefits does it offer to customers?","AAPL_2026Q3:30"
"How are changes to the App Store business model and the Supreme Court appeal impacting Apple's services?","AAPL_2026Q3:39"
"How is AMD managing its supply chain for CPU, GPU, and networking components?","AMD_2026Q2:43"
"What did Lisa Su say about the trajectory and guidance for the server CPU market in 2027?","AMD_2026Q2:40"
"How did AMD address the question regarding supply constraints in the server CPU business?","AMD_2026Q2:46"
"How does the XPU platform help provide compute capacity for Frontier model customers?","AVGO_2026Q2:33|AVGO_2026Q2:36"
"How far out does Broadcom's visibility run due to the huge demand and recent orders?","AVGO_2026Q2:36"
"What agreements did Broadcom mention regarding Anthropic's access to TPU-based compute?","AVGO_2026Q2:4"
"What was Alphabet's consolidated revenue growth and constant currency growth for the second quarter?","GOOG_2026Q2:19"
"What is Alphabet's perspective on evaluating a change in the corporate structure for Waymo?","GOOG_2026Q2:48|GOOG_2026Q2:49"
"How are long-term deals renewing for Google according to their latest earnings call?","GOOG_2026Q2:49"
"What is the focus of Robinhood Ventures and how does it relate to the company's growth?","LRCX_2026Q4:47"
"Who were the key executives participating in Robinhood's Q2 2026 earnings call?","LRCX_2026Q4:0"
"What is the timeline for releasing the feed ranking algorithm and tuning the posts?","LRCX_2026Q4:22"
"Who joined Chad Heaton to discuss Meta's second quarter 2026 results?","META_2026Q2:0"
"What is Meta One and what features does it offer to users?","META_2026Q2:5"
"How does Meta plan to maximize the opportunity by investing in building out data centers?","META_2026Q2:46"
"Which customers are using Microsoft's Cobalt VMs for their workloads?","MSFT_2026Q4:5"
"What did Microsoft project for total company revenue and operating expenses in their guidance?","MSFT_2026Q4:34"
"Who were the executives listed as participating in the Microsoft Q4 2026 earnings call?","MSFT_2026Q4:0"
"How is the Vera Rubin architecture expected to impact Nvidia's share of the inference market?","NVDA_2027Q1:27"
"How does Nvidia describe the second category of AI natives and OEMs?","NVDA_2027Q1:39|NVDA_2027Q1:26"
"Why are the installations for the second category considered relatively small compared to hyperscalers?","NVDA_2027Q1:26"
"What are Elon Musk's thoughts on upgrading cars with Hardware 4 for future FSD versions?","TSLA_2026Q2:43"
"When does Tesla expect to get self-driving working on the Tesla Semi?","TSLA_2026Q2:40"
"What did Vaibhav Taneja say about Tesla's CapEx spend on scaling factories like Optimus and Cybercab?","TSLA_2026Q2:46"
"What are the expected speed and power improvements of the A14 node compared to N2?","TSM_2026Q2:13"
"How did C.C. Wei respond to questions about TSMC's wafer pricing strategy?","TSM_2026Q2:30"
"What is TSMC's outlook and revenue guidance for the next several years?","TSM_2026Q2:39"
