query,Context Relevance,Faithfulness / Groundedness,Answer Relevance,judge_score,judge_failure_type
"What did Apple report for total revenue in fiscal Q3 2026?",1.0,1.0,1.0,1.0,"The context contains all required details (Context Relevance: 1.0). The answer is fully faithful to the provided context (Faithfulness: 1.0) and directly addresses the question (Answer Relevance: 1.0)."
"What gross margin did Apple report, and what drove the sequential change?",1.0,0.0,0.0,0.0,"Context contains facts, but the answer incorrectly reported a 120 basis point sequential change instead of 80 bps and missed primary gross margin figure of 50.1%."
"What did Apple guide for revenue growth and gross margin in the September quarter?",1.0,1.0,1.0,1.0,"Context contains full guidance information. The generated answer accurately provides revenue growth guidance (9%-11%) and gross margin guidance (47%-48%)."
"What supply constraints did Apple expect to affect iPhone, Mac, and iPad?",1.0,1.0,1.0,1.0,"Context contains the driver and products affected. The answer accurately identifies iPhone, Mac, iPad and advanced node SoC constraints."
"What did Apple say about rising memory costs and their impact beyond September?",1.0,1.0,1.0,1.0,"Context covers rising memory cost dynamics. The answer accurately summarizes fading carry-in inventory benefits and ongoing price impacts."
"What was Alphabet's revenue growth in Q2 2026?",0.0,1.0,0.0,0.0,"Retrieval failure resulted in missing consolidated revenue chunk. RAG model faithfully abstained, leaving prompt unanswered."
"How did Google Cloud revenue and operating margin perform?",1.0,0.5,0.8,0.5,"Numerical performance is grounded, but RAG answer introduced extraneous drivers (TPU system sales, GCP breakdown) unsupported by context."
"What did Alphabet guide for full-year 2026 CapEx, and why was it increased?",1.0,1.0,1.0,1.0,"Updated CapEx guidance ($195B-$205B) and underlying reasons were completely and accurately presented from context."
"What did Google say about AI infrastructure demand and supply constraints?",0.0,1.0,0.0,0.0,"Context missed key supply constraint chunks. The answer omitted the supply constraint aspect entirely and added irrelevant details."
"How did Alphabet describe the AI opportunity and expected ROIC?",0.3,0.8,0.2,0.2,"Key context on ROIC and multiyear returns was missing in retrieval. Generated response was vague and missed core secular shift details."
"What was Microsoft's fiscal Q4 2026 revenue and year-over-year growth?",0.0,1.0,0.0,0.0,"Retrieval chunk MSFT_2026Q4:22 containing total revenue was missed. Model accurately stated it did not know based on context."
"What are Robinhood's three strategic priorities?",0.0,1.0,0.0,0.0,"Target chunk specifying three strategic priorities was not retrieved. Model correctly abstained from hallucinating."
"How did Robinhood describe demand and monetization for prediction markets or crypto products?",0.3,1.0,0.3,0.3,"Transaction monetization chunks (basis points, Arbitrum split) were missed. Answer relied on Gold membership conversion context."
"How did Robinhood's July trading activity compare with Q2?",1.0,0.9,0.9,0.9,"July trading volumes and take rates directly matched Q2 comparisons from context. Minor extra note on net deposits included."
"What did Robinhood say about the impact of removing the Pattern Day Trading rule?",1.0,0.95,0.95,0.95,"Fully supported by context, accurately noting the June tailwind, outsized benefit for small balances, and expected ongoing adoption."
